Put_delta,Put,Strikes,Call,Call_delta,Imp_vol,Skew,Vega
-0.23,0.00965,135.0,0.05735,0.77,0.1052,0.0148,0.0021
-0.27,0.0116,137.0,0.04933,0.72,0.1021,0.0117,0.0022
-0.32,0.01416,138.0,0.04183,0.68,0.0991,0.0086,0.0024
-0.38,0.01704,141.0,0.03495,0.62,0.0962,0.0058,0.0025
-0.44,0.02064,142.0,0.02859,0.56,0.0936,0.0032,0.0026
-0.5,0.02492,144.0,0.02282,0.49,0.0913,0.0009,0.0026
-0.57,0.03005,147.0,0.01799,0.43,0.0893,-0.0011,0.0026
-0.64,0.03574,148.0,0.01371,0.36,0.0876,-0.0028,0.0024
-0.7,0.04235,150.0,0.01036,0.29,0.0861,-0.0043,0.0022
-0.76,0.04958,153.0,0.00752,0.24,0.0851,-0.0054,0.0021
